Date;Open;High;Low;Close;Adj Close;Volume
2002-01-02;31,155000686645508;31,549999237060547;31,05500030517578;31,479999542236328;17,95646095275879;8669200
2002-01-03;31,479999542236328;31,950000762939453;31,3799991607666;31,44499969482422;17,93650245666504;8237600
2002-01-04;31,559999465942383;32,07500076293945;31,5049991607666;31,934999465942383;18,215984344482422;10598600
2002-01-07;31,200000762939453;31,690000534057617;31,200000762939453;31,55500030517578;17,99924659729004;10852200
2002-01-08;31,350000381469727;31,44499969482422;30,875;31,049999237060547;17,711183547973633;11914200
2002-01-09;31,125;31,5;30,829999923706055;30,975000381469727;17,66840362548828;8524200
2002-01-10;31,100000381469727;31,34000015258789;30,899999618530273;31,0;17,682666778564453;10527400
2002-01-11;31,125;31,139999389648438;30,450000762939453;30,450000762939453;17,368942260742188;9616400
2002-01-14;30,44499969482422;30,56999969482422;30,200000762939453;30,360000610351562;17,31760597229004;9339200
2002-01-15;30,399999618530273;30,924999237060547;30,28499984741211;30,725000381469727;17,525806427001953;12358800
2002-01-16;30,299999237060547;30,90999984741211;30,075000762939453;30,399999618530273;17,340431213378906;10224600
2002-01-17;30,524999618530273;30,75;30,5;30,559999465942383;17,431692123413086;8927400
2002-01-18;30,399999618530273;30,665000915527344;30,260000228881836;30,399999618530273;17,340431213378906;8546200
2002-01-22;30,75;31,360000610351562;30,5;31,334999084472656;17,873743057250977;16068400
